date,ChatGPT,Gemini (Google),Claude,Perplexity AI,DeepSeek,Midjourney,DALL·E,Stable Diffusion,Runway Gen-2,Sora
2022-08-28,0,0,1,0,0,18,0,9,0,14
2022-09-04,0,0,1,0,0,17,0,10,0,13
2022-09-11,0,0,1,0,0,12,0,8,0,15
2022-09-18,0,0,1,0,0,10,0,8,0,14
2022-09-25,0,0,1,0,0,8,0,9,0,14
2022-10-02,0,0,1,0,0,7,0,12,0,14
2022-10-09,0,0,1,0,0,7,0,11,0,13
2022-10-16,0,0,1,0,0,6,0,9,0,14
2022-10-23,0,0,1,0,0,5,0,8,0,14
2022-10-30,0,0,1,0,0,4,0,8,0,13
2022-11-06,0,0,1,0,0,8,0,8,0,14
2022-11-13,0,0,1,0,0,7,0,7,0,13
2022-11-20,0,0,1,0,0,6,0,7,0,12
2022-11-27,0,0,1,0,0,10,0,8,0,13
2022-12-04,5,0,1,0,0,13,0,10,0,13
2022-12-11,6,0,1,0,0,14,0,11,0,13
2022-12-18,4,0,1,0,0,19,0,10,0,12
2022-12-25,3,0,1,0,0,21,0,9,0,13
2023-01-01,5,0,1,0,0,21,0,10,0,14
2023-01-08,8,0,1,0,0,24,0,10,0,14
2023-01-15,10,0,1,0,0,27,0,10,0,14
2023-01-22,11,0,1,0,0,30,0,10,0,14
2023-01-29,14,0,1,0,0,32,0,12,0,14
2023-02-05,17,0,1,0,0,37,0,11,0,14
2023-02-12,18,0,1,0,0,34,0,12,0,13
2023-02-19,18,0,1,0,0,33,0,16,0,15
2023-02-26,17,0,1,0,0,29,0,17,0,17
2023-03-05,17,0,1,0,0,29,0,17,0,15
2023-03-12,18,0,1,0,0,36,0,17,0,13
2023-03-19,21,0,1,0,0,53,0,19,0,13
2023-03-26,23,0,1,0,0,63,0,21,0,13
2023-04-02,21,0,1,0,0,52,0,21,0,13
2023-04-09,23,0,1,0,0,45,0,21,0,14
2023-04-16,23,0,1,0,0,40,0,19,0,13
2023-04-23,23,0,1,0,0,36,0,19,0,14
2023-04-30,21,0,1,0,0,37,0,19,0,14
2023-05-07,22,0,1,0,0,36,0,19,0,13
2023-05-14,24,0,1,0,0,36,0,18,0,13
2023-05-21,22,0,1,0,0,32,0,18,0,13
2023-05-28,22,0,1,0,0,30,0,17,0,12
2023-06-04,21,0,1,0,0,29,0,16,0,13
2023-06-11,21,0,1,0,0,29,0,15,0,12
2023-06-18,20,0,2,0,0,27,0,15,0,12
2023-06-25,18,0,1,0,0,30,0,15,0,14
2023-07-02,17,0,1,0,0,27,0,15,0,15
2023-07-09,18,0,1,0,0,24,0,14,0,15
2023-07-16,16,0,1,0,0,23,0,15,0,14
2023-07-23,15,0,1,0,0,24,0,14,0,13
2023-07-30,16,0,1,0,0,22,0,13,0,14
2023-08-06,16,0,1,0,0,21,0,13,0,13
2023-08-13,16,0,1,0,0,20,0,13,0,14
2023-08-20,17,0,1,0,0,20,0,12,0,13
2023-08-27,19,0,1,0,0,18,0,12,0,14
2023-09-03,20,0,1,0,0,18,0,11,0,14
2023-09-10,20,0,1,0,0,17,0,11,0,15
2023-09-17,22,0,1,0,0,17,0,12,0,14
2023-09-24,23,0,1,0,0,17,0,12,0,16
2023-10-01,23,0,1,0,0,18,0,12,0,14
2023-10-08,24,0,1,0,0,17,0,11,0,13
2023-10-15,24,0,1,0,0,17,1,11,0,14
2023-10-22,24,0,1,0,0,18,0,11,0,14
2023-10-29,23,0,1,0,0,16,0,10,0,15
2023-11-05,26,0,1,0,0,17,0,10,0,15
2023-11-12,24,0,1,0,0,15,0,10,0,14
2023-11-19,25,0,1,0,0,15,0,11,0,12
2023-11-26,27,0,1,0,0,17,0,12,0,13
2023-12-03,27,1,1,0,0,17,0,12,0,14
2023-12-10,26,1,1,0,0,17,0,11,0,14
2023-12-17,21,0,1,0,0,18,0,11,0,13
2023-12-24,15,0,1,0,0,19,0,10,0,12
2023-12-31,18,0,1,0,0,18,0,11,0,14
2024-01-07,22,0,1,0,0,18,0,11,0,15
2024-01-14,24,0,1,0,0,18,0,11,0,14
2024-01-21,23,0,1,0,0,17,0,11,0,14
2024-01-28,23,0,1,0,0,18,0,11,0,14
2024-02-04,23,0,1,0,0,16,0,10,0,14
2024-02-11,24,1,1,0,0,16,0,11,0,83
2024-02-18,25,1,1,0,0,19,0,13,0,100
2024-02-25,25,1,1,0,0,17,0,12,0,45
2024-03-03,27,1,2,0,0,16,0,12,0,40
2024-03-10,26,1,2,0,0,17,0,11,0,28
2024-03-17,26,1,2,0,0,16,0,10,0,27
2024-03-24,23,1,2,0,0,15,0,10,0,27
2024-03-31,25,1,2,0,0,14,0,10,0,24
2024-04-07,25,1,2,0,0,14,0,9,0,24
2024-04-14,28,1,1,0,0,13,0,9,0,22
2024-04-21,29,1,2,1,0,13,0,9,0,20
2024-04-28,28,1,2,1,0,12,0,9,0,20
2024-05-05,27,1,1,1,0,12,0,9,0,20
2024-05-12,32,1,2,1,0,13,0,9,0,20
2024-05-19,31,1,2,0,0,13,0,9,0,19
2024-05-26,31,1,1,0,0,13,0,9,0,19
2024-06-02,33,1,1,1,0,12,0,9,0,18
2024-06-09,28,1,1,0,0,12,0,10,0,18
2024-06-16,26,1,2,0,0,12,0,10,0,19
2024-06-23,24,1,2,0,0,12,0,8,0,18
2024-06-30,23,0,2,0,0,11,0,8,0,18
2024-07-07,23,0,2,0,0,11,0,8,0,18
2024-07-14,23,1,2,0,0,11,0,8,0,17
2024-07-21,23,1,2,0,0,11,0,8,0,16
2024-07-28,23,1,2,0,0,11,0,8,0,17
2024-08-04,26,1,2,0,0,11,0,8,0,16
2024-08-11,28,1,2,0,0,12,0,8,0,18
2024-08-18,30,1,2,0,0,14,0,8,0,21
2024-08-25,34,1,2,0,0,14,0,8,0,20
2024-09-01,34,1,2,0,0,12,0,8,0,20
2024-09-08,40,1,2,1,0,12,0,7,0,19
2024-09-15,39,1,2,1,0,12,0,7,0,18
2024-09-22,45,1,2,1,0,12,0,7,0,17
2024-09-29,43,1,2,1,0,11,0,7,0,17
2024-10-06,45,1,2,1,0,12,0,7,0,17
2024-10-13,43,1,2,1,0,12,0,7,0,17
2024-10-20,51,1,2,1,0,13,0,8,0,17
2024-10-27,46,1,2,1,0,12,0,7,0,16
2024-11-03,50,1,2,1,0,12,0,7,0,16
2024-11-10,55,1,2,1,0,12,0,7,0,16
2024-11-17,54,1,2,1,0,13,0,7,0,17
2024-11-24,52,1,2,1,0,12,0,7,0,16
2024-12-01,52,1,2,1,0,12,0,7,0,18
2024-12-08,54,1,2,1,0,12,0,7,0,65
2024-12-15,46,1,2,0,0,12,0,7,0,31
2024-12-22,38,1,2,0,0,11,0,7,0,26
2024-12-29,35,1,2,0,1,11,0,7,0,22
2025-01-05,47,1,2,0,1,13,0,7,0,24
2025-01-12,49,1,2,0,1,12,0,7,0,23
2025-01-19,53,1,2,0,2,12,0,7,0,20
2025-01-26,55,1,2,1,32,13,1,8,0,21
2025-02-02,56,1,2,1,14,14,1,8,0,22
2025-02-09,57,1,2,1,9,13,1,8,0,20
2025-02-16,59,1,2,1,8,13,1,8,0,19
2025-02-23,61,1,3,1,6,13,1,7,0,22
2025-03-02,64,1,3,1,6,13,1,7,0,23
2025-03-09,59,1,3,1,5,12,1,7,0,21
2025-03-16,63,1,3,1,6,12,1,7,0,20
2025-03-23,65,1,3,1,6,13,1,8,0,26
2025-03-30,100,1,3,0,6,16,1,9,0,27
2025-04-06,81,1,3,0,6,14,1,7,0,27
2025-04-13,69,1,3,0,6,12,1,7,0,27
2025-04-20,73,1,2,1,6,12,1,7,0,30
2025-04-27,74,1,2,1,5,11,1,7,0,27
2025-05-04,77,1,2,1,5,11,1,6,0,31
2025-05-11,79,1,3,1,5,12,1,6,0,28
2025-05-18,83,1,4,1,5,12,1,6,0,28
2025-05-25,82,1,5,1,5,11,1,6,0,27
2025-06-01,80,1,5,1,5,11,1,7,0,27
2025-06-08,88,1,4,1,5,14,1,7,0,27
2025-06-15,82,1,3,1,4,15,1,7,0,25
2025-06-22,84,1,3,1,4,19,1,7,0,47
2025-06-29,80,1,3,1,4,15,1,6,0,46
